 1-674.3887683297787 2-633.9721661977925 3-950.9990288555288 4-722.3562662171697 MY-612.5730328083358 G:_-1621.3991333894567 loss-2234734.25
 1-613.0509895278274 2-463.90258930030495 3-787.6557063581058 4-440.86686842271763 MY-650.7453730476599 G:_--109.87850462494225 loss-56572.7578125
 1-856.6277401044248 2-468.53310716631466 3-900.8274019188389 4-541.6369379550288 MY-616.6486762013503 G:_-251.88443096496434 loss-68324.046875
 1-663.1811259608384 2-602.7966800954672 3-862.7767221522931 4-485.40711498362623 MY-717.952729848813 G:_--132.54561486518674 loss-64550.15234375
 1-796.2517336934177 2-528.7326232180794 3-890.5847428228368 4-444.8993468282133 MY-539.4768768384836 G:_-305.42246998972973 loss-123807.734375
 1-737.1802420267574 2-477.24004638893337 3-636.5552108629769 4-644.3261562345048 MY-539.9108647781029 G:_-837.3291816108305 loss-573922.6875
 1-530.2220624163963 2-502.1387445718361 3-838.7019792133493 4-493.5009410459911 MY-877.7349130501651 G:_--384.233972004174 loss-299015.4375
 1-697.7368385357757 2-453.929643964116 3-845.0563071246866 4-531.9499197745071 MY-585.0224347219031 G:_-268.9072092422129 loss-61060.63671875
 1-694.0482377388648 2-471.00770802578575 3-883.8343593685914 4-718.9378207224404 MY-520.2415242000724 G:_-850.7661838257134 loss-513396.09375
 1-785.4977318915589 2-495.7610180863936 3-791.586458615071 4-440.97844463199885 MY-632.7181207101844 G:_-208.26032392181446 loss-25642.779296875
 1-724.1899246597071 2-508.0963929814098 3-711.8698526598625 4-518.9481537482592 MY-551.6878928438007 G:_-356.4085001376091 loss-92938.4140625
 1-610.4937945758495 2-470.4387573007749 3-904.8745287854027 4-535.021578651116 MY-711.5689921045912 G:_--141.13023480381628 loss-81050.6875
 1-671.3561674939928 2-454.3007131808499 3-865.6002229874998 4-521.6821488872091 MY-761.7810355999139 G:_--207.480322419064 loss-63846.046875
 1-689.8281963605185 2-546.0718488912161 3-858.099703477187 4-483.40227961584446 MY-619.0831281632788 G:_-264.3191514525656 loss-37098.37890625
 1-560.5692203356432 2-445.37067959923183 3-858.9079369899083 4-554.9444573188501 MY-773.3696174610054 G:_--227.99893786177358 loss-163487.578125
 1-575.8664022376042 2-586.0764283570678 3-936.7852903783603 4-468.5475558886353 MY-943.7317552392227 G:_--475.1841993505874 loss-431221.84375
 1-675.1189706994664 2-483.07646122216136 3-751.3910609014221 4-666.3465809763321 MY-841.3285967058242 G:_--358.25213548366287 loss-279947.71875
 1-646.9362193561045 2-639.0792889266944 3-807.3614094530298 4-536.8685890811926 MY-727.7332868313647 G:_--90.86469775017213 loss-93379.234375
 1-592.3567453502545 2-497.52814566317807 3-857.281018286325 4-491.4053835452134 MY-825.745102740363 G:_--234.3397191951496 loss-129299.1796875
 1-661.8492429030899 2-429.21233381783725 3-849.4579386925764 4-531.1926178876931 MY-744.6206466660531 G:_--215.40831284821581 loss-198873.796875
 1-532.5231996202579 2-490.4683410311613 3-723.5428699518218 4-584.9449684173362 MY-538.5142791047028 G:_-351.95406192645845 loss-69133.640625
 1-655.5545210477253 2-674.263123567872 3-873.1973719082141 4-524.4102200958176 MY-458.2776247743649 G:_-1666.1325953214528 loss-2291059.5
 1-694.3758433968032 2-530.3157383587568 3-817.3721985803078 4-444.5576789103503 MY-754.2772931981735 G:_--209.71961428782322 loss-153770.703125
 1-674.7514162716178 2-447.57109622494426 3-959.8454890694862 4-938.9987454478834 MY-503.998391365058 G:_-843.5727048598862 loss-712195.8125
 1-846.3272930451037 2-545.6442590352552 3-905.0219676326427 4-512.8597225445881 MY-701.3135896440076 G:_-211.54613290058046 loss-29521.31640625
 1-592.6587651105651 2-597.9645457227549 3-900.1647543856616 4-431.251226795249 MY-611.0903846435473 G:_--79.83915784829827 loss-49060.79296875
 1-572.8863013706207 2-515.7895709415233 3-883.7704453969325 4-512.7862103658499 MY-578.9412979853433 G:_-33.84491238050657 loss-18683.6875
 1-612.2468764751782 2-439.1105040248688 3-913.0692237198555 4-519.785243142365 MY-798.4874263903682 G:_--259.3769223654994 loss-156527.3125
 1-645.3870634415422 2-483.1904913475044 3-981.2528326106251 4-487.75602967754486 MY-562.37264567684 G:_-320.81784567066444 loss-117939.359375
 1-772.4742019549769 2-501.83109094676365 3-852.9528674099676 4-625.7301377574514 MY-658.0878869475183 G:_-243.74320399924534 loss-82580.5703125
 1-617.627273544577 2-522.7672735539049 3-835.5909867380657 4-548.4358028841284 MY-619.8645145533145 G:_-2.902759000590436 loss-27886.326171875
 1-717.0642174598619 2-501.979601045643 3-877.094882107663 4-529.0152174837245 MY-557.1262324847546 G:_-344.8533685608884 loss-108364.3046875
 1-627.8418760015878 2-531.4694716270964 3-800.7120465079045 4-527.4069208459222 MY-781.0723277715375 G:_--153.66540692561534 loss-31010.474609375
 1-682.7609518614757 2-519.2465219729318 3-833.3826576308846 4-420.98292137610036 MY-577.8069185893237 G:_-243.17600278677668 loss-57140.05859375
 1-673.3124059001523 2-549.8533797950084 3-814.8702690324542 4-448.422433347143 MY-947.1752719210446 G:_--498.75283857390156 loss-497415.4375
 1-648.4370382538975 2-555.4916561015656 3-940.1505410619222 4-457.6727561976675 MY-673.2629184146446 G:_--115.59016221697703 loss-42277.9609375
 1-539.9023764739122 2-453.6925276262381 3-878.9748399400343 4-515.2467745519099 MY-684.1618625014688 G:_--130.46933487523074 loss-107151.375
 1-652.9282361216165 2-497.23487360136414 3-845.8727854524184 4-573.5834039537879 MY-793.0561077587145 G:_--195.82123415735032 loss-79595.84375
 1-719.2292013489824 2-460.62579044739994 3-913.1814184743872 4-468.0215612724152 MY-867.4345025735053 G:_--306.8087121261053 loss-239174.078125
 1-739.4379865550601 2-559.1690926712607 3-926.9749400059934 4-510.841184197065 MY-586.2600758621011 G:_-324.5811083349639 loss-56137.19921875
 1-675.2930739814318 2-606.4016475005444 3-903.9612111999957 4-561.9727418958238 MY-565.3846501069479 G:_-896.5880917888759 loss-585831.6875
 1-534.8523835463801 2-508.1901720545146 3-789.1886938415087 4-514.7411204672593 MY-525.6873558591766 G:_-382.502816195338 loss-125212.8359375
 1-692.5115559172709 2-562.00122702045 3-892.1940711335785 4-552.8809353741208 MY-603.6106848567158 G:_-349.270250517405 loss-58388.40234375
 1-510.3540910813834 2-582.7335034110368 3-829.6956473279507 4-590.9261854913103 MY-660.4213030669614 G:_--50.06721198557801 loss-49399.08984375
 1-872.2762464809848 2-455.3537114105827 3-763.4166787576353 4-471.34351758549514 MY-655.4660909147482 G:_-199.88762049583454 loss-46997.0625
 1-765.87019118773 2-484.34494931350497 3-934.1207099227518 4-497.96305475676 MY-580.1641567294198 G:_-304.18079258408517 loss-50089.73828125
 1-748.1094064931183 2-618.190995091068 3-832.2581618367045 4-498.1829615340085 MY-703.9842272753222 G:_-194.19873425868633 loss-51202.02734375
 1-615.7509638289933 2-479.8945485068549 3-864.9249139388546 4-679.597033501014 MY-1014.7907532004288 G:_--534.8962046935738 loss-513131.4375
 1-741.2794590905685 2-605.6066102906653 3-824.3846825269662 4-478.6374407427965 MY-555.0848188599513 G:_-823.5526218828452 loss-485249.75
 1-616.1743655518576 2-627.8006867674321 3-929.663256437772 4-532.4995051090496 MY-692.593972858936 G:_--60.09446774988646 loss-45257.34375
 1-634.2677721174236 2-527.14639879795 3-837.7535587676313 4-532.8946754771684 MY-869.4070096484123 G:_--342.2606108504623 loss-287800.71875
