 1-634.9867533631578 2-739.4511667726132 3-930.0531257019143 4-586.5458341921874 MY-597.9488155025006 G:_-888.5970186896868 loss-415122.4375
 1-689.4842619277696 2-645.7814480022777 3-857.0281698343139 4-643.9576950311182 MY-700.5359853161511 G:_-43.42170971496705 loss-154801.5
 1-1004.6151509856325 2-512.80007443845 3-779.670928905038 4-610.2959735828042 MY-866.2460551931185 G:_--253.44598075466854 loss-356612.78125
 1-788.5297407337217 2-650.642683578442 3-894.1204719685846 4-521.0442390789651 MY-935.1895306344709 G:_--414.14529155550576 loss-603668.125
 1-744.8038885825728 2-584.6265037852179 3-835.7008927848693 4-518.8858096600123 MY-736.6528318654235 G:_-182.2329777945888 loss-42747.34765625
 1-746.1171352109592 2-650.0424202253988 3-838.3563876665693 4-505.4282154286483 MY-619.6912512781281 G:_-785.7369641505202 loss-164850.859375
 1-693.5124729245172 2-651.1857755894823 3-834.4115563952422 4-710.0993140228869 MY-666.2068190312356 G:_-884.9789565582468 loss-378768.625
 1-753.5134807357977 2-628.0834759746313 3-733.8545114630971 4-492.7399717397955 MY-629.1850965271727 G:_-263.5548752126228 loss-17864.6328125
 1-786.8539293694898 2-680.4139340887606 3-934.5775281854177 4-551.9675677900483 MY-837.2442657515039 G:_--185.27669796145562 loss-290498.4375
 1-693.6704427019722 2-615.7415531849563 3-817.4750941419891 4-608.7235074983658 MY-609.3957272414997 G:_-899.3277802568662 loss-200150.015625
 1-726.7951346507809 2-632.9163307168909 3-778.1155425217977 4-510.49873018542513 MY-620.7561656192883 G:_-789.7425645661369 loss-234234.640625
 1-662.1829911907362 2-606.054562920393 3-822.6965557922399 4-630.3264180538655 MY-735.9118345323433 G:_--29.857271611950296 loss-102060.8671875
 1-634.5489946692144 2-618.6702139343797 3-933.8713465228204 4-650.6707142095347 MY-649.5688701735348 G:_-369.1013437608449 loss-15128.8466796875
 1-735.4242378378706 2-663.4276531633858 3-858.3981978637155 4-775.3704772363387 MY-770.8479075618881 G:_-292.57974560149773 loss-20263.650390625
 1-745.3167208294772 2-638.0218838697259 3-981.8143743662887 4-496.162989014289 MY-727.8419242213049 G:_-168.3210647929841 loss-83448.3046875
 1-670.6574798402648 2-567.8555889136853 3-982.5121678977156 4-509.53136263217533 MY-575.6279026675758 G:_-333.90345996459956 loss-20819.669921875
 1-751.4571119552885 2-471.51057387179173 3-850.1853250414376 4-477.981246899658 MY-590.8559938041586 G:_-280.6545800676331 loss-20691.87890625
 1-656.6951514451382 2-523.0497534598638 3-855.797933522049 4-577.7758249839753 MY-746.230804415536 G:_--123.18105095567216 loss-173748.203125
 1-745.5180944026514 2-494.2563399558035 3-967.5698105294695 4-540.2964337996948 MY-617.9902496664932 G:_-276.2660902893103 loss-24948.55859375
 1-658.6751497733112 2-574.2481416312802 3-906.767270846946 4-636.3557103198614 MY-940.3974201740749 G:_--366.1492785427947 loss-486122.1875
 1-775.4357378453287 2-629.9052010463375 3-861.4242128680547 4-670.2780091085817 MY-534.5452461979609 G:_-1695.3599548483767 loss-1806495.5
 1-642.629189894388 2-598.5024804709121 3-860.1341333199367 4-622.802514200763 MY-714.1576301743171 G:_--15.655149703404959 loss-94725.1796875
 1-627.5048769926573 2-533.6601132809877 3-877.0780503901267 4-519.7460044537218 MY-788.6168848298182 G:_--168.87088037609647 loss-257256.234375
 1-642.4006495342342 2-501.35720855535044 3-769.8303260916974 4-585.2967016050005 MY-618.4342934463508 G:_-282.92291510899963 loss-17389.462890625
 1-655.6183924711149 2-550.918523454145 3-827.2417440906356 4-512.6627246397707 MY-705.4372497221422 G:_--92.7745250823715 loss-187156.015625
